main_entity,entity_type,mention_count,mentions,source_file
RTT,版本端口与数值实体,5,RTT,cn.txt
短连接,概念与特性实体,2,短连接,cn.txt
自治系统,服务器与网络组件实体,1,自治系统,cn.txt
HTTP/1.0,协议实体,1,HTTP/1.0,cn.txt
缓存机制,概念与特性实体,1,缓存机制,cn.txt
If-Modified-Since,报文字段与状态实体,1,If-Modified-Since,cn.txt
Expires,报文字段与状态实体,1,Expires,cn.txt
Host,报文字段与状态实体,4,Host,cn.txt
虚拟主机,概念与特性实体,2,虚拟主机,cn.txt
支持断点续传,概念与特性实体,2,支持断点续传,cn.txt
断点续传,概念与特性实体,2,断点续传,cn.txt
HTTP/1.1,协议实体,2,HTTP/1.1,cn.txt
长连接,概念与特性实体,3,长连接,cn.txt
Keep-Alive,机制与技术实体,1,Keep-Alive,cn.txt
多路复用,机制与技术实体,2,多路复用,cn.txt
二进制帧,报文字段与状态实体,2,二进制帧,cn.txt
ETag,报文字段与状态实体,1,ETag,cn.txt
If-Match,报文字段与状态实体,1,If-Match,cn.txt
If-None-Match,报文字段与状态实体,1,If-None-Match,cn.txt
头部压缩,机制与技术实体,4,头部压缩,cn.txt
服务器推送,机制与技术实体,3,服务器推送,cn.txt
Range,报文字段与状态实体,1,Range,cn.txt
队头阻塞,概念与特性实体,4,队头阻塞,cn.txt
HPACK,机制与技术实体,2,HPACK,cn.txt
连接迁移,机制与技术实体,3,连接迁移,cn.txt
TLS1.3,机制与技术实体,1,TLS1.3,cn.txt
QPACK,机制与技术实体,1,QPACK,cn.txt
明文传输,概念与特性实体,1,明文传输,cn.txt
SSL/TLS,机制与技术实体,1,SSL/TLS,cn.txt
Connection,报文字段与状态实体,1,Connection,cn.txt
Content-Type,报文字段与状态实体,1,Content-Type,cn.txt
Cache-Control,报文字段与状态实体,1,Cache-Control,cn.txt
Cookie,机制与技术实体,8,Cookie,cn.txt
User-Agent,报文字段与状态实体,1,User-Agent,cn.txt
Session,机制与技术实体,8,Session,cn.txt
URL,地址与标识实体,10,URL,cn.txt
SessionID,地址与标识实体,5,SessionID | sessionid,cn.txt
Set-Cookie,机制与技术实体,1,Set-Cookie,cn.txt
分布式,概念与特性实体,2,分布式,cn.txt
URL 重写,机制与技术实体,1,URL 重写,cn.txt
