main_entity,entity_type,mention_count,mentions,source_file
脏读,事务与一致性实体,4,脏读,mysql.txt
不可重复读,事务与一致性实体,4,不可重复读,mysql.txt
幻读,事务与一致性实体,6,幻读,mysql.txt
READ UNCOMMITTED,事务与一致性实体,1,READ UNCOMMITTED,mysql.txt
READ COMMITTED,事务与一致性实体,1,READ COMMITTED,mysql.txt
REPEATABLE READ,事务与一致性实体,1,REPEATABLE READ,mysql.txt
undo log,事务与一致性实体,4,undo log,mysql.txt
redo log,事务与一致性实体,4,redo log,mysql.txt
SERIALIZABLE,事务与一致性实体,1,SERIALIZABLE,mysql.txt
MVCC,事务与一致性实体,3,MVCC,mysql.txt
多版本并发控制,事务与一致性实体,1,多版本并发控制,mysql.txt
版本链,事务与一致性实体,1,版本链,mysql.txt
read view,事务与一致性实体,1,read view,mysql.txt
读视图,事务与一致性实体,1,读视图,mysql.txt
锁机制,领域实体,1,锁机制,mysql.txt
页锁,锁机制实体,1,页锁,mysql.txt
共享锁,锁机制实体,4,共享锁,mysql.txt
读锁,锁机制实体,1,读锁,mysql.txt
排他锁,锁机制实体,4,排他锁,mysql.txt
写锁,锁机制实体,1,写锁,mysql.txt
意向锁,锁机制实体,2,意向锁,mysql.txt
死锁,锁机制实体,3,死锁,mysql.txt
死锁解决方式,锁机制实体,2,死锁解决方式,mysql.txt
意向共享锁,锁机制实体,1,意向共享锁,mysql.txt
意向排他锁,锁机制实体,1,意向排他锁,mysql.txt
间隙锁,锁机制实体,2,间隙锁,mysql.txt
Gap Lock,锁机制实体,1,Gap Lock,mysql.txt
临键锁,锁机制实体,1,临键锁,mysql.txt
Next-Key Lock,锁机制实体,1,Next-Key Lock,mysql.txt
id,执行计划与调优实体,6,id,mysql.txt
锁等待超时时间,锁机制实体,1,锁等待超时时间,mysql.txt
select_type,执行计划与调优实体,2,select_type,mysql.txt
table,执行计划与调优实体,2,table,mysql.txt
type,执行计划与调优实体,3,type,mysql.txt
性能调优,领域实体,1,性能调优,mysql.txt
慢查询日志,执行计划与调优实体,1,慢查询日志,mysql.txt
long_query_time,执行计划与调优实体,1,long_query_time,mysql.txt
key,执行计划与调优实体,2,key,mysql.txt
rows,执行计划与调优实体,2,rows,mysql.txt
Extra,执行计划与调优实体,2,Extra,mysql.txt
执行计划,执行计划与调优实体,3,执行计划,mysql.txt
EXPLAIN,执行计划与调优实体,2,EXPLAIN,mysql.txt
优化联表查询,数据库设计与规范实体,2,优化联表查询,mysql.txt
避免使用子查询,查询与连接实体,2,避免使用子查询,mysql.txt
批量插入替代单条插入,执行计划与调优实体,2,批量插入替代单条插入,mysql.txt
Using index,执行计划与调优实体,1,Using index,mysql.txt
