main_entity,entity_type,mention_count,mentions,source_file
泛型方法,领域实体,1,泛型方法,java.txt
通配符,泛型实体,1,通配符,java.txt
类型擦除,数据类型实体,1,类型擦除,java.txt
反射,领域实体,3,反射,java.txt
核心类,数据类型实体,1,核心类,java.txt
Method,反射实体,1,Method,java.txt
Field,反射实体,1,Field,java.txt
Constructor,反射实体,1,Constructor,java.txt
类名.class,数据类型实体,1,类名.class,java.txt
getClass,领域实体,1,getClass,java.txt
Class.forName,领域实体,1,Class.forName,java.txt
全限定名,反射实体,1,全限定名,java.txt
Annotation,注解实体,1,Annotation,java.txt
解析,JVM 与内存管理实体,2,解析,java.txt
@Override,注解实体,1,@Override,java.txt
@Deprecated,注解实体,1,@Deprecated,java.txt
@SuppressWarnings,注解实体,1,@SuppressWarnings,java.txt
@FunctionalInterface,注解实体,1,@FunctionalInterface,java.txt
元注解,领域实体,1,元注解,java.txt
@Retention,注解实体,1,@Retention,java.txt
@Target,注解实体,1,@Target,java.txt
@Documented,注解实体,1,@Documented,java.txt
@Inherited,注解实体,1,@Inherited,java.txt
自定义注解,领域实体,1,自定义注解,java.txt
@interface,注解实体,1,@interface,java.txt
线程与并发,领域实体,1,线程与并发,java.txt
并发,线程与并发实体,1,并发,java.txt
创建线程的方式,线程与并发实体,1,创建线程的方式,java.txt
Thread,线程与并发实体,2,Thread,java.txt
Runnable,线程与并发实体,1,Runnable,java.txt
Callable,线程与并发实体,1,Callable,java.txt
FutureTask,线程与并发实体,1,FutureTask,java.txt
线程状态,线程与并发实体,1,线程状态,java.txt
新建,线程状态实体,1,新建,java.txt
就绪,线程状态实体,1,就绪,java.txt
阻塞,线程状态实体,1,阻塞,java.txt
等待,线程状态实体,2,等待,java.txt
超时等待,线程状态实体,1,超时等待,java.txt
终止,线程状态实体,1,终止,java.txt
synchronized,线程与并发实体,1,synchronized,java.txt
互斥锁,线程与并发实体,1,互斥锁,java.txt
Lock,线程与并发实体,3,Lock,java.txt
ReentrantLock,线程与并发实体,1,ReentrantLock,java.txt
tryLock,线程与并发实体,1,tryLock,java.txt
lockInterruptibly,线程与并发实体,1,lockInterruptibly,java.txt
volatile,线程与并发实体,1,volatile,java.txt
可见性,线程与并发实体,1,可见性,java.txt
指令重排序,线程与并发实体,1,指令重排序,java.txt
原子性,线程与并发实体,1,原子性,java.txt
线程池,线程与并发实体,1,线程池,java.txt
Executor,线程与并发实体,2,Executor,java.txt
ThreadPoolExecutor,线程与并发实体,1,ThreadPoolExecutor,java.txt
堆,JVM 与内存管理实体,2,堆,java.txt
栈,JVM 与内存管理实体,2,栈,java.txt
方法区,JVM 与内存管理实体,1,方法区,java.txt
程序计数器,JVM 与内存管理实体,1,程序计数器,java.txt
本地方法栈,JVM 与内存管理实体,1,本地方法栈,java.txt
垃圾回收,JVM 与内存管理实体,1,垃圾回收,java.txt
GC,JVM 与内存管理实体,1,GC,java.txt
标记-清除,JVM 与内存管理实体,1,标记-清除,java.txt
复制,JVM 与内存管理实体,1,复制,java.txt
标记-整理,JVM 与内存管理实体,1,标记-整理,java.txt
分代收集,JVM 与内存管理实体,1,分代收集,java.txt
类加载机制,数据类型实体,1,类加载机制,java.txt
加载,JVM 与内存管理实体,3,加载,java.txt
验证,JVM 与内存管理实体,1,验证,java.txt
准备,JVM 与内存管理实体,1,准备,java.txt
类加载器,数据类型实体,1,类加载器,java.txt
Bootstrap ClassLoader,JVM 与内存管理实体,1,Bootstrap ClassLoader,java.txt
Extension ClassLoader,JVM 与内存管理实体,1,Extension ClassLoader,java.txt
Application ClassLoader,JVM 与内存管理实体,1,Application ClassLoader,java.txt
双亲委派模型,JVM 与内存管理实体,1,双亲委派模型,java.txt
