main_entity,entity_type,mention_count,mentions,source_file,normalized_entity,aliases,section_titles,merged_entities,disambiguation_confidence,disambiguation_method,disambiguation_basis
Full GC,垃圾回收核心概念实体,8,Full GC,JVM.txt,Full GC,Full GC,全文 | 使用ThreadLocal,Full GC,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Full GC；章节=全文|使用ThreadLocal
STW,垃圾回收核心概念实体,8,STW,JVM.txt,STW,STW,使用ThreadLocal,STW,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=STW；章节=使用ThreadLocal
Serial,垃圾回收器实体,8,Serial,JVM.txt,Serial,Serial,使用ThreadLocal,Serial,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Serial；章节=使用ThreadLocal
卸载,类加载过程实体,8,卸载,JVM.txt,卸载,卸载,使用ThreadLocal,卸载,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=卸载；章节=使用ThreadLocal
双亲委派,领域实体,8,双亲委派,JVM.txt,双亲委派,双亲委派,使用ThreadLocal,双亲委派,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=双亲委派；章节=使用ThreadLocal
方法调用,栈与栈帧相关实体,8,方法调用,JVM.txt,方法调用,方法调用,全文,方法调用,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=方法调用；章节=全文
直接引用,方法区与元数据相关实体,8,直接引用,JVM.txt,直接引用,直接引用,全文 | 使用ThreadLocal,直接引用,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=直接引用；章节=全文|使用ThreadLocal
解析,类加载过程实体,8,解析,JVM.txt,解析,解析,全文 | 使用ThreadLocal,解析,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=解析；章节=全文|使用ThreadLocal
Class 对象,类加载过程实体,7,Class 对象 | Class对象,JVM.txt,Class 对象,Class 对象 | Class对象,使用ThreadLocal,Class 对象,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Class 对象；章节=使用ThreadLocal
Eden 区,堆结构实体,7,Eden 区 | Eden区,JVM.txt,Eden 区,Eden 区 | Eden区,全文 | 使用ThreadLocal,Eden 区,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Eden 区；章节=全文|使用ThreadLocal
static,代码与容器实体,7,static,JVM.txt,static,static,全文 | 静态属性导致内存泄露 | 使用ThreadLocal,static,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=static；章节=全文|静态属性导致内存泄露|使用ThreadLocal
堆溢出,内存区域实体,7,堆溢出,JVM.txt,堆溢出,堆溢出,全文,堆溢出,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=堆溢出；章节=全文
连接,类加载过程实体,7,连接,JVM.txt,连接,连接,全文 | 未关闭的资源 | 使用ThreadLocal,连接,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=连接；章节=全文|未关闭的资源|使用ThreadLocal
Java 堆,内存区域实体,6,Java 堆 | Java堆,JVM.txt,Java 堆,Java 堆 | Java堆,全文 | 使用ThreadLocal,Java 堆,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Java 堆；章节=全文|使用ThreadLocal
Java 虚拟机栈,领域实体,6,Java 虚拟机栈 | Java虚拟机栈,JVM.txt,Java 虚拟机栈,Java 虚拟机栈 | Java虚拟机栈,全文,Java 虚拟机栈,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Java 虚拟机栈；章节=全文
Major GC,垃圾回收核心概念实体,6,Major GC | majorGC,JVM.txt,Major GC,Major GC | majorGC,全文 | 使用ThreadLocal,Major GC,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Major GC；章节=全文|使用ThreadLocal
value,代码与容器实体,6,value,JVM.txt,value,value,使用ThreadLocal,value,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=value；章节=使用ThreadLocal
可达性分析,垃圾回收核心概念实体,6,可达性分析,JVM.txt,可达性分析,可达性分析,使用ThreadLocal,可达性分析,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=可达性分析；章节=使用ThreadLocal
对象引用,栈与栈帧相关实体,6,对象引用,JVM.txt,对象引用,对象引用,全文 | 使用ThreadLocal,对象引用,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=对象引用；章节=全文|使用ThreadLocal
强引用,引用类型实体,6,强引用,JVM.txt,强引用,强引用,全文 | 使用ThreadLocal,强引用,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=强引用；章节=全文|使用ThreadLocal
数组,对象与字符串相关实体,6,数组,JVM.txt,数组,数组,全文,数组,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=数组；章节=全文
标记-整理算法,垃圾回收算法实体,6,标记-整理算法,JVM.txt,标记-整理算法,标记-整理算法,使用ThreadLocal,标记-整理算法,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=标记-整理算法；章节=使用ThreadLocal
浮动垃圾,垃圾回收核心概念实体,6,浮动垃圾,JVM.txt,浮动垃圾,浮动垃圾,使用ThreadLocal,浮动垃圾,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=浮动垃圾；章节=使用ThreadLocal
直接内存,内存区域实体,6,直接内存,JVM.txt,直接内存,直接内存,全文,直接内存,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=直接内存；章节=全文
程序计数器,内存区域实体,6,程序计数器,JVM.txt,程序计数器,程序计数器,全文,程序计数器,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=程序计数器；章节=全文
类加载过程,领域实体,6,类加载过程,JVM.txt,类加载过程,类加载过程,使用ThreadLocal,类加载过程,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=类加载过程；章节=使用ThreadLocal
转移阶段,垃圾回收算法实体,6,转移阶段,JVM.txt,转移阶段,转移阶段,使用ThreadLocal,转移阶段,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=转移阶段；章节=使用ThreadLocal
StackOverFlowError,异常与错误实体,5,StackOverFlowError | StackOverflowError,JVM.txt,StackOverFlowError,StackOverFlowError | StackOverflowError,全文,StackOverFlowError,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=StackOverFlowError；章节=全文
