main_entity,entity_type,mention_count,mentions,source_file,normalized_entity,aliases,section_titles,merged_entities,disambiguation_confidence,disambiguation_method,disambiguation_basis
准备,JVM 与内存管理实体,1,准备,java.txt,准备,准备,JVM基础,准备,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=准备；章节=JVM基础
分代收集,JVM 与内存管理实体,1,分代收集,java.txt,分代收集,分代收集,JVM基础,分代收集,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=分代收集；章节=JVM基础
创建线程的方式,线程与并发实体,1,创建线程的方式,java.txt,创建线程的方式,创建线程的方式,线程与并发,创建线程的方式,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=创建线程的方式；章节=线程与并发
单继承,面向对象核心实体,1,单继承,java.txt,单继承,单继承,继承与多态,单继承,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=单继承；章节=继承与多态
原子性,线程与并发实体,1,原子性,java.txt,原子性,原子性,线程与并发,原子性,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=原子性；章节=线程与并发
双亲委派模型,JVM 与内存管理实体,1,双亲委派模型,java.txt,双亲委派模型,双亲委派模型,JVM基础,双亲委派模型,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=双亲委派模型；章节=JVM基础
可见性,线程与并发实体,1,可见性,java.txt,可见性,可见性,线程与并发,可见性,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=可见性；章节=线程与并发
向上转型,继承与类型转换实体,1,向上转型,java.txt,向上转型,向上转型,继承与多态,向上转型,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=向上转型；章节=继承与多态
向下转型,继承与类型转换实体,1,向下转型,java.txt,向下转型,向下转型,继承与多态,向下转型,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=向下转型；章节=继承与多态
垃圾回收,JVM 与内存管理实体,1,垃圾回收,java.txt,垃圾回收,垃圾回收,JVM基础,垃圾回收,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=垃圾回收；章节=JVM基础
复制,JVM 与内存管理实体,1,复制,java.txt,复制,复制,JVM基础,复制,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=复制；章节=JVM基础
多态的表现形式,面向对象核心实体,1,多态的表现形式,java.txt,多态的表现形式,多态的表现形式,继承与多态,多态的表现形式,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=多态的表现形式；章节=继承与多态
多维数组,数据类型实体,1,多维数组,java.txt,多维数组,多维数组,数组,多维数组,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=多维数组；章节=数组
子类对象,数据类型实体,1,子类对象,java.txt,子类对象,子类对象,继承与多态,子类对象,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=子类对象；章节=继承与多态
实现类对象,数据类型实体,1,实现类对象,java.txt,实现类对象,实现类对象,继承与多态,实现类对象,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=实现类对象；章节=继承与多态
封装,面向对象核心实体,1,封装,java.txt,封装,封装,面向对象基础,封装,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=封装；章节=面向对象基础
就绪,线程状态实体,1,就绪,java.txt,就绪,就绪,线程与并发,就绪,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=就绪；章节=线程与并发
并发,线程与并发实体,1,并发,java.txt,并发,并发,全文,并发,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=并发；章节=全文
异常处理,领域实体,1,异常处理,java.txt,异常处理,异常处理,全文,异常处理,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=异常处理；章节=全文
循环结构,流程控制实体,1,循环结构,java.txt,循环结构,循环结构,流程控制,循环结构,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=循环结构；章节=流程控制
抽象方法,抽象类与接口实体,1,抽象方法,java.txt,抽象方法,抽象方法,抽象类与接口,抽象方法,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=抽象方法；章节=抽象类与接口
抽象类与接口,数据类型实体,1,抽象类与接口,java.txt,抽象类与接口,抽象类与接口,全文,抽象类与接口,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=抽象类与接口；章节=全文
指令重排序,线程与并发实体,1,指令重排序,java.txt,指令重排序,指令重排序,线程与并发,指令重排序,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=指令重排序；章节=线程与并发
接口引用,数据类型实体,1,接口引用,java.txt,接口引用,接口引用,继承与多态,接口引用,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=接口引用；章节=继承与多态
插入顺序,集合框架实体,1,插入顺序,java.txt,插入顺序,插入顺序,集合框架,插入顺序,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=插入顺序；章节=集合框架
数组的创建,数据类型实体,1,数组的创建,java.txt,数组的创建,数组的创建,数组,数组的创建,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=数组的创建；章节=数组
新建,线程状态实体,1,新建,java.txt,新建,新建,线程与并发,新建,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=新建；章节=线程与并发
方法区,JVM 与内存管理实体,1,方法区,java.txt,方法区,方法区,JVM基础,方法区,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=方法区；章节=JVM基础
方法重写,面向对象核心实体,1,方法重写,java.txt,方法重写,方法重写,面向对象基础,方法重写,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=方法重写；章节=面向对象基础
方法重载,面向对象核心实体,1,方法重载,java.txt,方法重载,方法重载,面向对象基础,方法重载,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=方法重载；章节=面向对象基础
本地方法栈,JVM 与内存管理实体,1,本地方法栈,java.txt,本地方法栈,本地方法栈,JVM基础,本地方法栈,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=本地方法栈；章节=JVM基础
条件分支,流程控制实体,1,条件分支,java.txt,条件分支,条件分支,流程控制,条件分支,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=条件分支；章节=流程控制
构造方法,面向对象核心实体,1,构造方法,java.txt,构造方法,构造方法,面向对象基础,构造方法,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=构造方法；章节=面向对象基础
枚举,数据类型实体,1,枚举,java.txt,枚举,枚举,数据类型,枚举,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=枚举；章节=数据类型
标记-整理,JVM 与内存管理实体,1,标记-整理,java.txt,标记-整理,标记-整理,JVM基础,标记-整理,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=标记-整理；章节=JVM基础
标记-清除,JVM 与内存管理实体,1,标记-清除,java.txt,标记-清除,标记-清除,JVM基础,标记-清除,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=标记-清除；章节=JVM基础
核心类,数据类型实体,1,核心类,java.txt,核心类,核心类,反射,核心类,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=核心类；章节=反射
泛型方法,领域实体,1,泛型方法,java.txt,泛型方法,泛型方法,泛型,泛型方法,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=泛型方法；章节=泛型
泛型类,领域实体,1,泛型类,java.txt,泛型类,泛型类,泛型,泛型类,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=泛型类；章节=泛型
父类引用,数据类型实体,1,父类引用,java.txt,父类引用,父类引用,继承与多态,父类引用,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=父类引用；章节=继承与多态
程序计数器,JVM 与内存管理实体,1,程序计数器,java.txt,程序计数器,程序计数器,JVM基础,程序计数器,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=程序计数器；章节=JVM基础
算术运算符,运算符实体,1,算术运算符,java.txt,算术运算符,算术运算符,变量与运算符,算术运算符,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=算术运算符；章节=变量与运算符
类加载器,数据类型实体,1,类加载器,java.txt,类加载器,类加载器,JVM基础,类加载器,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=类加载器；章节=JVM基础
类加载机制,数据类型实体,1,类加载机制,java.txt,类加载机制,类加载机制,JVM基础,类加载机制,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=类加载机制；章节=JVM基础
类变量,数据类型实体,1,类变量,java.txt,类变量,类变量,变量与运算符,类变量,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=类变量；章节=变量与运算符
类名.class,数据类型实体,1,类名.class,java.txt,类名.class,类名.class,反射,类名.class,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=类名.class；章节=反射
类型擦除,数据类型实体,1,类型擦除,java.txt,类型擦除,类型擦除,泛型,类型擦除,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=类型擦除；章节=泛型
红黑树,集合框架实体,1,红黑树,java.txt,红黑树,红黑树,集合框架,红黑树,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=红黑树；章节=集合框架
线程与并发,领域实体,1,线程与并发,java.txt,线程与并发,线程与并发,全文,线程与并发,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=线程与并发；章节=全文
线程池,线程与并发实体,1,线程池,java.txt,线程池,线程池,线程与并发,线程池,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=线程池；章节=线程与并发
线程状态,线程与并发实体,1,线程状态,java.txt,线程状态,线程状态,线程与并发,线程状态,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=线程状态；章节=线程与并发
终止,线程状态实体,1,终止,java.txt,终止,终止,线程与并发,终止,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=终止；章节=线程与并发
自定义注解,领域实体,1,自定义注解,java.txt,自定义注解,自定义注解,注解,自定义注解,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=自定义注解；章节=注解
访问控制修饰符,关键字与修饰符实体,1,访问控制修饰符,java.txt,访问控制修饰符,访问控制修饰符,关键字与修饰符,访问控制修饰符,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=访问控制修饰符；章节=关键字与修饰符
赋值运算符,运算符实体,1,赋值运算符,java.txt,赋值运算符,赋值运算符,变量与运算符,赋值运算符,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=赋值运算符；章节=变量与运算符
超时等待,线程状态实体,1,超时等待,java.txt,超时等待,超时等待,线程与并发,超时等待,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=超时等待；章节=线程与并发
跳转语句,流程控制实体,1,跳转语句,java.txt,跳转语句,跳转语句,流程控制,跳转语句,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=跳转语句；章节=流程控制
通配符,泛型实体,1,通配符,java.txt,通配符,通配符,泛型,通配符,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=通配符；章节=泛型
逻辑运算符,运算符实体,1,逻辑运算符,java.txt,逻辑运算符,逻辑运算符,变量与运算符,逻辑运算符,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=逻辑运算符；章节=变量与运算符
键值对,集合框架实体,1,键值对,java.txt,键值对,键值对,集合框架,键值对,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=键值对；章节=集合框架
阻塞,线程状态实体,1,阻塞,java.txt,阻塞,阻塞,线程与并发,阻塞,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=阻塞；章节=线程与并发
集合框架,领域实体,1,集合框架,java.txt,集合框架,集合框架,全文,集合框架,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=集合框架；章节=全文
面向对象,领域实体,1,面向对象,java.txt,面向对象,面向对象,全文,面向对象,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=面向对象；章节=全文
验证,JVM 与内存管理实体,1,验证,java.txt,验证,验证,JVM基础,验证,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=验证；章节=JVM基础
默认方法,抽象类与接口实体,1,默认方法,java.txt,默认方法,默认方法,抽象类与接口,默认方法,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=默认方法；章节=抽象类与接口
